strength: 2553 , time: 500 
strength: 2554 , time: 700 
strength: 2550 , time: 900 
strength: 2549 , time: 1100 
strength: 2549 , time: 1300 
strength: 2560 , time: 1500 
strength: 2552 , time: 1700 
strength: 2549 , time: 1900 
strength: 2548 , time: 2100 
strength: 2551 , time: 2300 
strength: 2541 , time: 2501 
strength: 2542 , time: 2701 
strength: 2540 , time: 2901 
strength: 2542 , time: 3101 
strength: 2538 , time: 3301 
strength: 2539 , time: 3501 
strength: 2538 , time: 3701 
strength: 2532 , time: 3901 
strength: 2533 , time: 4101 
strength: 2526 , time: 4301 
strength: 2531 , time: 4501 
strength: 2528 , time: 4701 
strength: 2532 , time: 4901 
strength: 2533 , time: 5101 
strength: 2530 , time: 5301 
strength: 2522 , time: 5502 
strength: 2531 , time: 5702 
strength: 2519 , time: 5902 
strength: 2519 , time: 6102 
strength: 2515 , time: 6302 
strength: 2515 , time: 6502 
strength: 2519 , time: 6702 
strength: 2511 , time: 6902 
strength: 2518 , time: 7102 
strength: 2512 , time: 7302 
strength: 2508 , time: 7502 
strength: 2505 , time: 7702 
strength: 2502 , time: 7902 
strength: 2507 , time: 8102 
strength: 2502 , time: 8302 
strength: 2494 , time: 8503 
strength: 2502 , time: 8703 
strength: 2492 , time: 8903 
strength: 2492 , time: 9103 
strength: 2495 , time: 9303 
strength: 2489 , time: 9503 
strength: 2484 , time: 9703 
strength: 2494 , time: 9903 
strength: 2488 , time: 10103 
strength: 2478 , time: 10303 
strength: 2479 , time: 10503 
strength: 2485 , time: 10703 
strength: 2483 , time: 10903 
strength: 2481 , time: 11103 
strength: 2473 , time: 11303 
strength: 2477 , time: 11504 
strength: 2479 , time: 11704 
strength: 2468 , time: 11904 
strength: 2474 , time: 12104 
strength: 2474 , time: 12304 
strength: 2463 , time: 12504 
strength: 2469 , time: 12704 
strength: 2485 , time: 12904 
strength: 2461 , time: 13104 
strength: 2465 , time: 13304 
strength: 2458 , time: 13504 
strength: 2456 , time: 13704 
strength: 2456 , time: 13904 
strength: 2451 , time: 14104 
strength: 2447 , time: 14305 
strength: 2445 , time: 14505 
strength: 2449 , time: 14705 
strength: 2450 , time: 14905 
strength: 2446 , time: 15105 
strength: 2442 , time: 15305 
strength: 2447 , time: 15505 
strength: 2438 , time: 15705 
strength: 2440 , time: 15905 
strength: 2435 , time: 16105 
strength: 2439 , time: 16305 
strength: 2437 , time: 16505 
strength: 2433 , time: 16705 
strength: 2428 , time: 16905 
strength: 2434 , time: 17106 
strength: 2427 , time: 17306 
strength: 2404 , time: 17506 
strength: 2423 , time: 17706 
strength: 2425 , time: 17906 
strength: 2417 , time: 18106 
strength: 2415 , time: 18306 
strength: 2419 , time: 18506 
strength: 2418 , time: 18706 
strength: 2407 , time: 18906 
strength: 2408 , time: 19106 
strength: 2406 , time: 19306 
strength: 2411 , time: 19506 
strength: 2410 , time: 19706 
strength: 2398 , time: 19906 
strength: 2401 , time: 20107 
strength: 2403 , time: 20307 
strength: 2399 , time: 20507 
strength: 2390 , time: 20707 
strength: 2386 , time: 20907 
strength: 2380 , time: 21107 
strength: 2384 , time: 21307 
strength: 2374 , time: 21507 
strength: 2380 , time: 21707 
strength: 2381 , time: 21907 
strength: 2371 , time: 22107 
strength: 2371 , time: 22307 
strength: 2366 , time: 22507 
strength: 2367 , time: 22707 
strength: 2365 , time: 22908 
strength: 2363 , time: 23108 
strength: 2369 , time: 23308 
strength: 2358 , time: 23508 
strength: 2357 , time: 23708 
strength: 2347 , time: 23908 
strength: 2347 , time: 24108 
strength: 2342 , time: 24308 
strength: 2354 , time: 24508 
strength: 2342 , time: 24708 
strength: 2343 , time: 24908 
strength: 2342 , time: 25108 
strength: 2340 , time: 25308 
strength: 2334 , time: 25508 
strength: 2335 , time: 25708 
strength: 2335 , time: 25909 
strength: 2337 , time: 26109 
strength: 2328 , time: 26309 
strength: 2327 , time: 26509 
strength: 2327 , time: 26709 
strength: 2327 , time: 26909 
strength: 2324 , time: 27109 
strength: 2320 , time: 27309 
strength: 2319 , time: 27509 
strength: 2315 , time: 27709 
strength: 2304 , time: 27909 
strength: 2314 , time: 28109 
strength: 2312 , time: 28309 
strength: 2316 , time: 28509 
strength: 2308 , time: 28710 
strength: 2305 , time: 28910 
strength: 2308 , time: 29110 
strength: 2303 , time: 29310 
strength: 2302 , time: 29510 
strength: 2301 , time: 29710 
strength: 2300 , time: 29910 
strength: 2295 , time: 30110 
strength: 2299 , time: 30310 
strength: 2297 , time: 30510 
strength: 2296 , time: 30710 
strength: 2286 , time: 30910 
strength: 2285 , time: 31110 
strength: 2292 , time: 31310 
strength: 2291 , time: 31510 
strength: 2278 , time: 31711 
strength: 2282 , time: 31911 
strength: 2276 , time: 32111 
strength: 2276 , time: 32311 
strength: 2252 , time: 32511 
strength: 2271 , time: 32711 
strength: 2275 , time: 32911 
strength: 2271 , time: 33111 
strength: 2269 , time: 33311 
strength: 2266 , time: 33511 
strength: 2257 , time: 33711 
strength: 2258 , time: 33911 
strength: 2255 , time: 34111 
strength: 2258 , time: 34311 
strength: 2253 , time: 34512 
strength: 2261 , time: 34712 
strength: 2247 , time: 34912 
strength: 2243 , time: 35112 
strength: 2249 , time: 35312 
strength: 2237 , time: 35512 
strength: 2241 , time: 35712 
strength: 2247 , time: 35912 
strength: 2235 , time: 36112 
strength: 2235 , time: 36312 
strength: 2235 , time: 36512 
strength: 2229 , time: 36712 
strength: 2228 , time: 36912 
strength: 2224 , time: 37112 
strength: 2236 , time: 37312 
strength: 2218 , time: 37513 
strength: 2217 , time: 37713 
strength: 2218 , time: 37913 
strength: 2212 , time: 38113 
strength: 2213 , time: 38313 
strength: 2206 , time: 38513 
strength: 2205 , time: 38713 
strength: 2206 , time: 38913 
strength: 2206 , time: 39113 
strength: 2204 , time: 39313 
strength: 2202 , time: 39513 
strength: 2206 , time: 39713 
strength: 2197 , time: 39913 
strength: 2200 , time: 40113 
strength: 2194 , time: 40314 
strength: 2195 , time: 40514 
strength: 2187 , time: 40714 
strength: 2186 , time: 40914 
strength: 2188 , time: 41114 
strength: 2189 , time: 41314 
strength: 2184 , time: 41514 
strength: 2182 , time: 41714 
strength: 2169 , time: 41914 
strength: 2175 , time: 42114 
strength: 2180 , time: 42314 
strength: 2179 , time: 42514 
strength: 2173 , time: 42714 
strength: 2172 , time: 42914 
strength: 2165 , time: 43115 
strength: 2168 , time: 43315 
strength: 2163 , time: 43515 
strength: 2162 , time: 43715 
strength: 2167 , time: 43915 
strength: 2154 , time: 44115 
strength: 2151 , time: 44315 
strength: 2157 , time: 44515 
strength: 2152 , time: 44715 
strength: 2156 , time: 44915 
strength: 2153 , time: 45115 
strength: 2155 , time: 45315 
strength: 2146 , time: 45515 
strength: 2144 , time: 45715 
strength: 2128 , time: 45915 
strength: 2137 , time: 46116 
strength: 2137 , time: 46316 
strength: 2138 , time: 46516 
strength: 2122 , time: 46716 
strength: 2129 , time: 46916 
strength: 2118 , time: 47116 
strength: 2119 , time: 47316 
strength: 2115 , time: 47516 
strength: 2129 , time: 47716 
strength: 2112 , time: 47916 
strength: 2108 , time: 48116 
strength: 2114 , time: 48316 
strength: 2105 , time: 48516 
strength: 2110 , time: 48716 
strength: 2109 , time: 48917 
strength: 2102 , time: 49117 
strength: 2099 , time: 49317 
strength: 2094 , time: 49517 
strength: 2093 , time: 49717 
strength: 2102 , time: 49917 
strength: 2095 , time: 50117 
strength: 2084 , time: 50317 
strength: 2084 , time: 50517 
strength: 2083 , time: 50717 
strength: 2080 , time: 50917 
strength: 2081 , time: 51117 
strength: 2082 , time: 51317 
strength: 2084 , time: 51517 
strength: 2081 , time: 51717 
strength: 2076 , time: 51918 
strength: 2076 , time: 52118 
strength: 2075 , time: 52318 
strength: 2078 , time: 52518 
strength: 2072 , time: 52718 
strength: 2067 , time: 52918 
strength: 2068 , time: 53118 
strength: 2068 , time: 53318 
strength: 2066 , time: 53518 
strength: 2064 , time: 53718 
strength: 2063 , time: 53918 
strength: 2058 , time: 54118 
strength: 2061 , time: 54318 
strength: 2060 , time: 54518 
strength: 2057 , time: 54719 
strength: 2059 , time: 54919 
strength: 2060 , time: 55119 
strength: 2055 , time: 55319 
strength: 2057 , time: 55519 
strength: 2060 , time: 55719 
strength: 2045 , time: 55919 
strength: 2049 , time: 56119 
strength: 2050 , time: 56319 
strength: 2044 , time: 56519 
strength: 2041 , time: 56719 
strength: 2046 , time: 56919 
strength: 2047 , time: 57119 
strength: 2040 , time: 57319 
strength: 2043 , time: 57519 
strength: 2030 , time: 57720 
strength: 2029 , time: 57920 
strength: 2035 , time: 58120 
strength: 2037 , time: 58320 
strength: 2034 , time: 58520 
strength: 2033 , time: 58720 
strength: 2034 , time: 58920 
strength: 2030 , time: 59120 
strength: 2026 , time: 59320 
strength: 2024 , time: 59520 
strength: 2020 , time: 59720 
strength: 2027 , time: 59920 
strength: 2032 , time: 60120 
strength: 2022 , time: 60320 
strength: 2021 , time: 60521 
strength: 2020 , time: 60721 
strength: 2022 , time: 60921 
strength: 2020 , time: 61121 
strength: 2014 , time: 61321 
strength: 2017 , time: 61521 
strength: 2023 , time: 61721 
strength: 2021 , time: 61921 
strength: 2016 , time: 62121 
strength: 2018 , time: 62321 
strength: 2024 , time: 62521 
strength: 2028 , time: 62721 
strength: 2019 , time: 62921 
strength: 2018 , time: 63121 
strength: 2017 , time: 63321 
strength: 2015 , time: 63522 
strength: 2021 , time: 63722 
strength: 2031 , time: 63922 
strength: 2025 , time: 64122 
strength: 2021 , time: 64322 
strength: 2025 , time: 64522 
strength: 2021 , time: 64722 
strength: 2018 , time: 64922 
strength: 2019 , time: 65122 
strength: 2022 , time: 65322 
strength: 2017 , time: 65522 
strength: 2018 , time: 65722 
strength: 2017 , time: 65922 
strength: 2015 , time: 66122 
strength: 2017 , time: 66323 
strength: 2017 , time: 66523 
strength: 2023 , time: 66723 
strength: 2016 , time: 66923 
strength: 2018 , time: 67123 
strength: 2017 , time: 67323 
strength: 2026 , time: 67523 
strength: 2013 , time: 67723 
strength: 2020 , time: 67923 
strength: 2017 , time: 68123 
strength: 2017 , time: 68323 
strength: 2016 , time: 68523 
strength: 2018 , time: 68723 
strength: 2026 , time: 68923 
strength: 2017 , time: 69124 
strength: 2018 , time: 69324 
strength: 2019 , time: 69524 
strength: 2023 , time: 69724 
strength: 2017 , time: 69924 
strength: 2018 , time: 70124 
strength: 2014 , time: 70324 
strength: 2021 , time: 70524 
strength: 2019 , time: 70724 
strength: 2017 , time: 70924 
strength: 2022 , time: 71124 
strength: 2016 , time: 71324 
strength: 2016 , time: 71524 
strength: 2019 , time: 71724 
strength: 2018 , time: 71924 
strength: 2023 , time: 72125 
strength: 2016 , time: 72325 
strength: 2018 , time: 72525 
strength: 2015 , time: 72725 
strength: 2016 , time: 72925 
strength: 2028 , time: 73125 
strength: 2016 , time: 73325 
strength: 2020 , time: 73525 
strength: 2019 , time: 73725 
strength: 2019 , time: 73925 
strength: 2018 , time: 74125 
strength: 2017 , time: 74325 
strength: 2017 , time: 74525 
strength: 2021 , time: 74725 
strength: 2013 , time: 74926 
strength: 2019 , time: 75126 
strength: 2021 , time: 75326 
strength: 2023 , time: 75526 
strength: 2012 , time: 75726 
strength: 2017 , time: 75926 
strength: 2018 , time: 76126 
strength: 2018 , time: 76326 
strength: 2020 , time: 76526 
strength: 2016 , time: 76726 
strength: 2018 , time: 76926 
strength: 2019 , time: 77126 
strength: 2024 , time: 77326 
strength: 2014 , time: 77526 
strength: 2009 , time: 77726 
strength: 2017 , time: 77927 
strength: 2017 , time: 78127 
strength: 2021 , time: 78327 
strength: 2018 , time: 78527 
strength: 2013 , time: 78727 
strength: 2019 , time: 78927 
strength: 2016 , time: 79127 
strength: 2019 , time: 79327 
strength: 2016 , time: 79527 
strength: 2021 , time: 79727 
strength: 2019 , time: 79927 
strength: 2023 , time: 80127 
strength: 2016 , time: 80327 
strength: 2016 , time: 80527 
strength: 2018 , time: 80728 
strength: 2015 , time: 80928 
strength: 2022 , time: 81128 
strength: 2018 , time: 81328 
strength: 2016 , time: 81528 
strength: 2019 , time: 81728 
strength: 2015 , time: 81928 
strength: 2017 , time: 82128 
strength: 2018 , time: 82328 
strength: 2017 , time: 82528 
strength: 2018 , time: 82728 
strength: 2013 , time: 82928 
strength: 2015 , time: 83128 
strength: 2015 , time: 83328 
strength: 2016 , time: 83528 
strength: 2015 , time: 83729 
strength: 2026 , time: 83929 
strength: 2018 , time: 84129 
strength: 2020 , time: 84329 
strength: 2020 , time: 84529 
strength: 2018 , time: 84729 
strength: 2025 , time: 84929 
strength: 2016 , time: 85129 
strength: 2015 , time: 85329 
strength: 2023 , time: 85529 
strength: 2018 , time: 85729 
strength: 2018 , time: 85929 
strength: 2024 , time: 86129 
strength: 2013 , time: 86329 
strength: 2018 , time: 86530 
strength: 2018 , time: 86730 
